class,fpr,tpr,auc
Survivor,0.0,0.0,0.40137812230835485
Survivor,0.027777777777777776,0.0,0.40137812230835485
Survivor,0.027777777777777776,0.06976744186046512,0.40137812230835485
Survivor,0.05555555555555555,0.06976744186046512,0.40137812230835485
Survivor,0.05555555555555555,0.09302325581395349,0.40137812230835485
Survivor,0.1388888888888889,0.09302325581395349,0.40137812230835485
Survivor,0.1388888888888889,0.11627906976744186,0.40137812230835485
Survivor,0.16666666666666666,0.11627906976744186,0.40137812230835485
Survivor,0.16666666666666666,0.13178294573643412,0.40137812230835485
Survivor,0.2222222222222222,0.13178294573643412,0.40137812230835485
Survivor,0.2222222222222222,0.1937984496124031,0.40137812230835485
Survivor,0.25,0.1937984496124031,0.40137812230835485
Survivor,0.25,0.23255813953488372,0.40137812230835485
Survivor,0.3055555555555556,0.23255813953488372,0.40137812230835485
Survivor,0.3055555555555556,0.24806201550387597,0.40137812230835485
Survivor,0.3888888888888889,0.24806201550387597,0.40137812230835485
Survivor,0.3888888888888889,0.2713178294573643,0.40137812230835485
Survivor,0.3888888888888889,0.2868217054263566,0.40137812230835485
Survivor,0.3888888888888889,0.3023255813953488,0.40137812230835485
Survivor,0.4166666666666667,0.3023255813953488,0.40137812230835485
Survivor,0.4166666666666667,0.32558139534883723,0.40137812230835485
Survivor,0.4444444444444444,0.32558139534883723,0.40137812230835485
Survivor,0.4444444444444444,0.3333333333333333,0.40137812230835485
Survivor,0.5,0.3333333333333333,0.40137812230835485
Survivor,0.5,0.35658914728682173,0.40137812230835485
Survivor,0.5277777777777778,0.35658914728682173,0.40137812230835485
Survivor,0.5277777777777778,0.4186046511627907,0.40137812230835485
Survivor,0.5555555555555556,0.4186046511627907,0.40137812230835485
Survivor,0.5555555555555556,0.43410852713178294,0.40137812230835485
Survivor,0.5833333333333334,0.43410852713178294,0.40137812230835485
Survivor,0.5833333333333334,0.4573643410852713,0.40137812230835485
Survivor,0.6111111111111112,0.4573643410852713,0.40137812230835485
Survivor,0.6111111111111112,0.4728682170542636,0.40137812230835485
