class,fpr,tpr,auc
Survivor,0.0,0.0,0.4916020671834625
Survivor,0.0,0.007751937984496124,0.4916020671834625
Survivor,0.0,0.015503875968992248,0.4916020671834625
Survivor,0.027777777777777776,0.015503875968992248,0.4916020671834625
Survivor,0.027777777777777776,0.06976744186046512,0.4916020671834625
Survivor,0.08333333333333333,0.06976744186046512,0.4916020671834625
Survivor,0.08333333333333333,0.08527131782945736,0.4916020671834625
Survivor,0.1111111111111111,0.08527131782945736,0.4916020671834625
Survivor,0.1111111111111111,0.13953488372093023,0.4916020671834625
Survivor,0.1388888888888889,0.13953488372093023,0.4916020671834625
Survivor,0.1388888888888889,0.20155038759689922,0.4916020671834625
Survivor,0.16666666666666666,0.20155038759689922,0.4916020671834625
Survivor,0.16666666666666666,0.26356589147286824,0.4916020671834625
Survivor,0.25,0.26356589147286824,0.4916020671834625
Survivor,0.25,0.3023255813953488,0.4916020671834625
Survivor,0.2777777777777778,0.3023255813953488,0.4916020671834625
Survivor,0.2777777777777778,0.32558139534883723,0.4916020671834625
Survivor,0.3055555555555556,0.32558139534883723,0.4916020671834625
Survivor,0.3055555555555556,0.3643410852713178,0.4916020671834625
Survivor,0.3333333333333333,0.3643410852713178,0.4916020671834625
Survivor,0.3333333333333333,0.3953488372093023,0.4916020671834625
Survivor,0.3611111111111111,0.3953488372093023,0.4916020671834625
Survivor,0.3611111111111111,0.43410852713178294,0.4916020671834625
Survivor,0.3888888888888889,0.43410852713178294,0.4916020671834625
Survivor,0.3888888888888889,0.4496124031007752,0.4916020671834625
Survivor,0.4444444444444444,0.4496124031007752,0.4916020671834625
Survivor,0.4444444444444444,0.4573643410852713,0.4916020671834625
Survivor,0.4722222222222222,0.4573643410852713,0.4916020671834625
Survivor,0.4722222222222222,0.49612403100775193,0.4916020671834625
Survivor,0.5,0.49612403100775193,0.4916020671834625
Survivor,0.5,0.5193798449612403,0.4916020671834625
Survivor,0.5833333333333334,0.5193798449612403,0.4916020671834625
Survivor,0.5833333333333334,0.5426356589147286,0.4916020671834625
Survivor,0.6111111111111112,0.5426356589147286,0.4916020671834625
Survivor,0.6111111111111112,0.5891472868217055,0.4916020671834625
Survivor,0.6388888888888888,0.5891472868217055,0.4916020671834625
Survivor,0.6388888888888888,0.5968992248062015,0.4916020671834625
