class,fpr,tpr,auc
Survivor,0.0,0.0,0.39577950043066323
Survivor,0.0,0.007751937984496124,0.39577950043066323
Survivor,0.0,0.015503875968992248,0.39577950043066323
Survivor,0.027777777777777776,0.015503875968992248,0.39577950043066323
Survivor,0.027777777777777776,0.06201550387596899,0.39577950043066323
Survivor,0.05555555555555555,0.06201550387596899,0.39577950043066323
Survivor,0.05555555555555555,0.07751937984496124,0.39577950043066323
Survivor,0.08333333333333333,0.07751937984496124,0.39577950043066323
Survivor,0.08333333333333333,0.13953488372093023,0.39577950043066323
Survivor,0.1388888888888889,0.13953488372093023,0.39577950043066323
Survivor,0.1388888888888889,0.15503875968992248,0.39577950043066323
Survivor,0.16666666666666666,0.15503875968992248,0.39577950043066323
Survivor,0.16666666666666666,0.20155038759689922,0.39577950043066323
Survivor,0.19444444444444445,0.20155038759689922,0.39577950043066323
Survivor,0.19444444444444445,0.20930232558139536,0.39577950043066323
Survivor,0.25,0.20930232558139536,0.39577950043066323
Survivor,0.25,0.21705426356589147,0.39577950043066323
Survivor,0.3333333333333333,0.21705426356589147,0.39577950043066323
Survivor,0.3333333333333333,0.2868217054263566,0.39577950043066323
Survivor,0.3888888888888889,0.2868217054263566,0.39577950043066323
Survivor,0.3888888888888889,0.29457364341085274,0.39577950043066323
Survivor,0.4166666666666667,0.29457364341085274,0.39577950043066323
Survivor,0.4166666666666667,0.3178294573643411,0.39577950043066323
Survivor,0.4444444444444444,0.3178294573643411,0.39577950043066323
Survivor,0.4444444444444444,0.32558139534883723,0.39577950043066323
Survivor,0.4722222222222222,0.32558139534883723,0.39577950043066323
Survivor,0.4722222222222222,0.34108527131782945,0.39577950043066323
Survivor,0.5,0.34108527131782945,0.39577950043066323
Survivor,0.5,0.3643410852713178,0.39577950043066323
Survivor,0.5555555555555556,0.3643410852713178,0.39577950043066323
Survivor,0.5555555555555556,0.4263565891472868,0.39577950043066323
Survivor,0.5833333333333334,0.4263565891472868,0.39577950043066323
Survivor,0.5833333333333334,0.43410852713178294,0.39577950043066323
Survivor,0.6111111111111112,0.43410852713178294,0.39577950043066323
Survivor,0.6111111111111112,0.4573643410852713,0.39577950043066323
Survivor,0.6388888888888888,0.4573643410852713,0.39577950043066323
Survivor,0.6388888888888888,0.5193798449612403,0.39577950043066323
Survivor,0.6666666666666666,0.5193798449612403,0.39577950043066323
Survivor,0.6666666666666666,0.5271317829457365,0.39577950043066323
Survivor,0.6944444444444444,0.5271317829457365,0.39577950043066323
Survivor,0.6944444444444444,0.5658914728682171,0.39577950043066323
Survivor,0.7222222222222222,0.5658914728682171,0.39577950043066323
Survivor,0.7222222222222222,0.5813953488372093,0.39577950043066323
Survivor,0.7777777777777778,0.5813953488372093,0.39577950043066323
