class,fpr,tpr,auc
Survivor,0.0,0.0,0.530792420327304
Survivor,0.027777777777777776,0.0,0.530792420327304
Survivor,0.027777777777777776,0.03875968992248062,0.530792420327304
Survivor,0.08333333333333333,0.03875968992248062,0.530792420327304
Survivor,0.08333333333333333,0.06201550387596899,0.530792420327304
Survivor,0.1111111111111111,0.06201550387596899,0.530792420327304
Survivor,0.1111111111111111,0.13178294573643412,0.530792420327304
Survivor,0.1388888888888889,0.13178294573643412,0.530792420327304
Survivor,0.1388888888888889,0.13953488372093023,0.530792420327304
Survivor,0.16666666666666666,0.13953488372093023,0.530792420327304
Survivor,0.16666666666666666,0.15503875968992248,0.530792420327304
Survivor,0.2222222222222222,0.15503875968992248,0.530792420327304
Survivor,0.2222222222222222,0.21705426356589147,0.530792420327304
Survivor,0.25,0.21705426356589147,0.530792420327304
Survivor,0.25,0.24806201550387597,0.530792420327304
Survivor,0.3055555555555556,0.24806201550387597,0.530792420327304
Survivor,0.3055555555555556,0.2868217054263566,0.530792420327304
Survivor,0.3333333333333333,0.2868217054263566,0.530792420327304
Survivor,0.3333333333333333,0.34108527131782945,0.530792420327304
Survivor,0.3611111111111111,0.34108527131782945,0.530792420327304
Survivor,0.3611111111111111,0.37209302325581395,0.530792420327304
Survivor,0.4166666666666667,0.37209302325581395,0.530792420327304
Survivor,0.4166666666666667,0.40310077519379844,0.530792420327304
Survivor,0.4444444444444444,0.40310077519379844,0.530792420327304
Survivor,0.4444444444444444,0.49612403100775193,0.530792420327304
Survivor,0.4722222222222222,0.49612403100775193,0.530792420327304
Survivor,0.4722222222222222,0.6511627906976745,0.530792420327304
Survivor,0.5,0.6511627906976745,0.530792420327304
Survivor,0.5,0.6976744186046512,0.530792420327304
Survivor,0.5277777777777778,0.6976744186046512,0.530792420327304
Survivor,0.5277777777777778,0.7131782945736435,0.530792420327304
Survivor,0.5555555555555556,0.7131782945736435,0.530792420327304
Survivor,0.5555555555555556,0.7441860465116279,0.530792420327304
Survivor,0.6111111111111112,0.7441860465116279,0.530792420327304
Survivor,0.6111111111111112,0.7674418604651163,0.530792420327304
Survivor,0.6388888888888888,0.7674418604651163,0.530792420327304
Survivor,0.6388888888888888,0.7751937984496124,0.530792420327304
Survivor,0.6666666666666666,0.7751937984496124,0.530792420327304
Survivor,0.6666666666666666,0.7906976744186046,0.530792420327304
Survivor,0.75,0.7906976744186046,0.530792420327304
Survivor,0.75,0.7984496124031008,0.530792420327304
Survivor,0.7777777777777778,0.7984496124031008,0.530792420327304
Survivor,0.7777777777777778,0.8217054263565892,0.530792420327304
Survivor,0.8055555555555556,0.8217054263565892,0.530792420327304
Survivor,0.8055555555555556,0.8372093023255814,0.530792420327304
Survivor,0.8333333333333334,0.8372093023255814,0.530792420327304
Survivor,0.8333333333333334,0.8527131782945736,0.530792420327304
Survivor,0.8611111111111112,0.8527131782945736,0.530792420327304
Survivor,0.8611111111111112,0.8682170542635659,0.530792420327304
Survivor,0.8888888888888888,0.8682170542635659,0.530792420327304
Survivor,0.8888888888888888,0.8992248062015504,0.530792420327304
Survivor,0.9166666666666666,0.8992248062015504,0.530792420327304
Survivor,0.9166666666666666,0.9457364341085271,0.530792420327304
Survivor,0.9444444444444444,0.9457364341085271,0.530792420327304
Survivor,0.9444444444444444,0.9534883720930233,0.530792420327304
Survivor,0.9722222222222222,0.9534883720930233,0.530792420327304
Survivor,0.9722222222222222,0.9612403100775194,0.530792420327304
Survivor,1.0,0.9612403100775194,0.530792420327304
Survivor,1.0,1.0,0.530792420327304
Sudden Cardiac Death,0.0,0.0,0.5496688741721854
Sudden Cardiac Death,0.006622516556291391,0.0,0.5496688741721854
Sudden Cardiac Death,0.046357615894039736,0.0,0.5496688741721854
Sudden Cardiac Death,0.046357615894039736,0.14285714285714285,0.5496688741721854
Sudden Cardiac Death,0.09933774834437085,0.14285714285714285,0.5496688741721854
Sudden Cardiac Death,0.09933774834437085,0.21428571428571427,0.5496688741721854
Sudden Cardiac Death,0.11920529801324503,0.21428571428571427,0.5496688741721854
Sudden Cardiac Death,0.11920529801324503,0.2857142857142857,0.5496688741721854
Sudden Cardiac Death,0.19205298013245034,0.2857142857142857,0.5496688741721854
Sudden Cardiac Death,0.19205298013245034,0.35714285714285715,0.5496688741721854
Sudden Cardiac Death,0.23841059602649006,0.35714285714285715,0.5496688741721854
Sudden Cardiac Death,0.23841059602649006,0.42857142857142855,0.5496688741721854
Sudden Cardiac Death,0.2847682119205298,0.42857142857142855,0.5496688741721854
Sudden Cardiac Death,0.2847682119205298,0.5,0.5496688741721854
Sudden Cardiac Death,0.33112582781456956,0.5,0.5496688741721854
Sudden Cardiac Death,0.33112582781456956,0.5714285714285714,0.5496688741721854
Sudden Cardiac Death,0.7350993377483444,0.5714285714285714,0.5496688741721854
Sudden Cardiac Death,0.7350993377483444,0.6428571428571429,0.5496688741721854
Sudden Cardiac Death,0.7682119205298014,0.6428571428571429,0.5496688741721854
Sudden Cardiac Death,0.7682119205298014,0.7857142857142857,0.5496688741721854
Sudden Cardiac Death,0.8013245033112583,0.7857142857142857,0.5496688741721854
Sudden Cardiac Death,0.8013245033112583,0.8571428571428571,0.5496688741721854
Sudden Cardiac Death,0.9205298013245033,0.8571428571428571,0.5496688741721854
Sudden Cardiac Death,0.9205298013245033,0.9285714285714286,0.5496688741721854
Sudden Cardiac Death,0.9536423841059603,0.9285714285714286,0.5496688741721854
Sudden Cardiac Death,0.9536423841059603,1.0,0.5496688741721854
Sudden Cardiac Death,1.0,1.0,0.5496688741721854
Pump Failure Death,0.0,0.0,0.5149396058486968
Pump Failure Death,0.006993006993006993,0.0,0.5149396058486968
Pump Failure Death,0.03496503496503497,0.0,0.5149396058486968
Pump Failure Death,0.03496503496503497,0.045454545454545456,0.5149396058486968
Pump Failure Death,0.16783216783216784,0.045454545454545456,0.5149396058486968
Pump Failure Death,0.16783216783216784,0.09090909090909091,0.5149396058486968
Pump Failure Death,0.17482517482517482,0.09090909090909091,0.5149396058486968
